#,Startup,Sector,Amount,Round (original),Investors,Period,Source Outlet,Source URL,Verified Round,Correction/Discrepancy Notes
130,TOCAL,Logistics Tech,$1.04M,Seed,Navyug Global,July 2026,Entrackr,https://entrackr.com/snippets/ev-fleet-startup-tocal-secures-rs-9-cr-in-seed-round-12138551,Seed,
131,RenaissThera,Diabetes Healthcare,Undisclosed,Seed,Arali Ventures,July 2026,YourStory,https://yourstory.com/2026/07/renaissthera-oral-obesity-diabetes-drugs,Seed,"[PARTIAL] Arali Ventures seed confirmed, amount undisclosed"
132,Ninjacart,Crop Tech,$6M,Series D,Accel,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] No July 2026 Series D found; Ninjacart launched $25M Agri Seed Fund instead
133,Arvog,Alternative Lending,$5.25M,Post IPO,Franklin Templeton India,July 2026,Business Standard,https://www.business-standard.com/content/press-releases-ani/finkurve-financial-services-limited-arvog-raises-rs-50-crore-through-ncd-issuance-from-franklin-templeton-to-accelerate-growth-and-business-expansion-126070300007_1.html,Conventional Debt,"[DISCREPANCY] Rs 50 crore NCD from Franklin Templeton confirmed, not Post IPO structure"
134,Inox Clean Energy,Renewable Energy,$73.6M,Series D,Poonawalla Family Office,July 2026,DealStreetAsia,https://www.dealstreetasia.com/stories/adar-poonawalla-family-office-inox-clean-487749,Series D,
135,Tulon Materials,Chemicals Tech,$1.05M,Seed,Karthik Sundar Iyer,July 2026,Outlook Business,https://www.outlookbusiness.com/deeptech/specialty-chemical-start-up-tulon-materials-raises-10-cr-in-seed-round,Seed,"[PARTIAL] Rs 10 crore seed with Karthik Sundar Iyer confirmed, USD amount differs"
136,Heatronics,Healthcare Booking,$189K,Seed,Inflection Point Ventures,July 2026,Indian Startup News,https://indianstartupnews.com/funding/healthcare-pain-management-startup-heatronics-raises-rs-18-crore-from-inflection-point-ventures-12125967,Seed,
137,Age Care Labs,Professional Services,$9M,Series B,Rainmatter,July 2026,YourStory,https://yourstory.com/2026/07/age-care-labs-raises-85-crore-to-expand-elder-care-platform,Series B,"[PARTIAL] Rs 85 crore (~$10.2M) from Rainmatter confirmed, amount slightly differs"
138,Supply6,Nutraceuticals Tech,$5M,Series A,Unilever Ventures,July 2026,Entrackr,https://entrackr.com/snippets/nutrition-startup-supply6-raises-rs-48-cr-led-by-unilever-ventures-12122813,Series A,
139,Albatross Energetics,Energy Efficiency,$1.05M,Seed,Transition VC,July 2026,Entrackr,https://entrackr.com/snippets/transition-vc-leads-105-mn-pre-series-a-round-in-albatross-energetics-12122965,Seed,
140,Data Science Wizards,AI Infrastructure,$5M,Seed,Undisclosed,July 2026,YourStory,https://yourstory.com/ai-story/enterprise-ai-firm-data-science-wizards-secures-pre-series-a-funding,Seed,"[PARTIAL] $5M pre-Series A confirmed, round type differs from Seed"
141,BatX Energies,Energy Storage,$11M,Series A,IvyCap Ventures,July 2026,YourStory,https://yourstory.com/2026/07/cleantech-startup-batx-raises-rs-105-cr-series-a-ivycap-ventures,Series A,
142,Dovetail Capital,Investment Services,Undisclosed,Series A,Elev8,July 2026,YourStory,https://yourstory.com/2026/07/dovetail-capital-raises-100-crore-from-elev8-venture-partners,Series A,[PARTIAL] Rs 100 crore Series A from Elev8 confirmed
143,Limelight,Fashion Tech,$28.9M,Series B,Bhathwari Group,July 2026,YourStory,https://yourstory.com/2026/07/limelight-diamonds-raises-275-crore-series-a-ivycap-ventures,Series B,
144,Spense,Banking Tech,$2.8M,Seed,Arkam Ventures,July 2026,Inc42,https://inc42.com/buzz/spense-raises-2-8-mn-from-arkam-ventures-to-build-secured-lending-infra/,Seed,
145,Kapture,Enterprise/Customer Service,$10M,Series A,Cactus Partners,June 2026,YourStory,https://yourstory.com/2026/06/kapture-cx-raises-10-million-led-by-bajaj-finserv-ventures,Pre-Series B,[DISCREPANCY] Round is pre-Series B not Series A; Cactus is existing investor not lead (Bajaj Finserv leads); June 30 announcement
146,The Indus Valley,Consumer/Household Durables,Undisclosed,Series B,Gaja Capital,June 2026,Business Standard,https://www.business-standard.com/companies/start-ups/indus-valley-raises-17-million-in-funding-round-led-by-gaja-capital-126063000703_1.html,Series B,"[PARTIAL] Batch listed amount as Undisclosed, but deal was $17M Series B."
147,YoLearn,EdTech/K-12,$500K,Seed,dataAlpha,June 2026,Entrackr,https://entrackr.com/snippets/edtech-platform-yolearn-ai-raises-pre-seed-round-12120052,Pre-seed,
148,The Func. Lab,HealthTech/Fitness,$1.5M,Seed,Nisaba Godrej,June 2026,Not yet checked,,,
149,Incuspaze,Real Estate/Commercial,$15.9M,Series A,Bharat Value Fund,June 2026,YourStory,https://yourstory.com/2026/06/incuspaze-raises-rs-150-crore-led-by-bharat-value-fund,Series A,
150,Mykare Health,HealthTech/Healthcare Booking,$1M,Series A,Andrew Parker,June 2026,Indian Startup Times,https://indianstartupnews.com/funding/healthtech-startup-mykareai-raises-1-million-to-expand-ai-healthcare-platform-12121004,Series A,[PARTIAL] Company raised $3.2M total Series A; Andrew Parker contributed $1M as part of this round.
151,Rusk Media,Media/Film & TV,Undisclosed,Series B,Yash Raj Films,June 2026,Unverified — no corroboration found,,Unverified,
152,Bartisans,Food/Online Grocery,$212K,Seed,Tilaknagar Industries,June 2026,Business Standard,https://www.business-standard.com/amp/markets/capital-market-news/tilaknagar-industries-invests-additional-rs-2-cr-in-bartisans-126062700397_1.html,Seed (follow-on),
153,Lytmus,EdTech/K-12,$529K,Seed,Boundless Ventures,June 2026,Business Standard,https://www.business-standard.com/amp/companies/start-ups/lytmus-ai-raises-5-crore-in-pre-seed-round-led-by-boundless-ventures-126062800731_1.html,Pre-seed,
154,Finnovate,FinTech/Investment Tech,$2M,Seed,Ramakant Deshpande,June 2026,Entrackr,https://entrackr.com/snippets/finnovate-raises-2m-in-pre-series-a-round-led-by-chiratae-ventures-12044185,Pre-Series A,[DISCREPANCY] Batch listed as Seed; sources confirm Pre-Series A round.
155,Retner,Enterprise/Sales Automation,Undisclosed,Seed,Growth Sense,June 2026,Whalesbook,https://www.whalesbook.com/news/English/technology/Retnerai-Secures-Funding-From-Growth-Sense-Venture-Fund/6a3e663e1ea2458e09601001,Seed,[PARTIAL] Growth Sense investment confirmed but amount undisclosed in sources.
156,AllHome,Real Estate/Building Materials,$21.2M,Series B,Stride Ventures,June 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-allhome-raises-rs-200-cr-series-b-funding-led-bessemer-venture-partners,Series B,"[DISCREPANCY] Batch states Stride Ventures as lead, but round was led by Bessemer Venture Partners with Stride providing debt."
157,Super Living,High Tech/Chatbots,$7M,Series A,Lightspeed Venture Partners,June 2026,Business Standard,https://www.business-standard.com/amp/companies/start-ups/health-tech-start-up-superliving-raises-7-million-led-by-lightspeed-126062500957_1.html,Series A,
158,Lithium Urban Technologies,Consumer/Road Transport,Undisclosed,Series B,JSW Group,June 2026,Renewable Watch,https://renewablewatch.in/2026/06/29/jsw-green-mobility-invests-in-lithium-urban-technologies/,,"[PARTIAL] Investment from JSW Green Mobility confirmed, but amount undisclosed; batch claims $53M."
159,Zave,FinTech/Investment Tech,$497K,Seed,Inflection Point Ventures,June 2026,Entrackr,https://entrackr.com/snippets/shopping-assistant-startup-zave-raises-bridge-round-led-by-ipv-12103687,Bridge,
160,MediKno,Retail/Beauty Tech,Undisclosed,Seed,build3,June 2026,Unverified — no corroboration found,,Unverified,
161,SaffronStays,Consumer/Online Travel,Undisclosed,Series A,Infinity Ventures,June 2026,Business Standard,https://www.business-standard.com/companies/start-ups/saffronstays-secures-3-5-million-funding-led-by-infinity-ventures-126062401179_1.html,Series B,[DISCREPANCY] Batch listed as Series A; press reports Series B round with $3.5M.
162,IKIN Global,High Tech/Smart Homes,$2M,Seed,Unicorn India Ventures,June 2026,Indian Startup Times,https://www.indianstartuptimes.com/investment/iot-smart-lock-startup-ikin-global-raises-2-million-pre-series-a2-funding-to-accelerate-global-expansion/,Pre-Series A2,"[DISCREPANCY] Batch listed as Seed; sources confirm Pre-Series A2. Also sector is B2B IoT smart locks, not smart homes."
163,AlienKind,Food/Food Service,$3.2M,Seed,Prakash Sikaria,June 2026,Indian Startup Times,https://www.indianstartuptimes.com/investment/alienkind-raises-3-2m-to-scale-its-sci-fi-qsr-and-wellness-beverage-story/,Series A,[PARTIAL] Funding co-led by Singularity AMC and Lumikai; batch only mentions Singularity AMC.
164,Roofsol Energy,Energy/Solar,$27.6M,Conventional Debt,AIFL,June 2026,Energetica India,https://www.energetica-india.net/news/roofsol-energy-secures-inr-260-crore-funding-from-aseem-infrastructure-finance,Conventional Debt,
165,BharatTender,Enterprise/SCM Software,$132K,Seed,Undisclosed,June 2026,Entrackr,https://entrackr.com/snippets/b2b-procurement-tech-platform-bharattender-raises-pre-seed-round-12065634,Pre-seed,
166,Square Yards,Consumer/Real Estate Tech,Undisclosed,Conventional Debt,Undisclosed,June 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Amount listed as Undisclosed; unable to independently verify separate conventional debt deal in June 2026.
167,Square Yards,Consumer/Real Estate Tech,$95.1M,Series C,Muzinich & Co,June 2026,DealStreet Asia,https://www.dealstreetasia.com/stories/square-yards-eaaa-alternatives-muzinich-486509,Series C,
168,Blue Tokai Coffee Roasters,Food/Online Grocery,$6.87M,Series C,Bhoruka Supply Chain Solutions Holdings,June 2026,Tracxn,https://tracxn.com/d/companies/blue-tokai-coffee-roasters/__IRRnhdU7e338ACHIUcfl6SpNIOiHQYljF3-5c47zyMY,Series C,"[PARTIAL] Amount and round confirmed but sector is specialty coffee, not online grocery."
169,LiLLBUD,Consumer/Baby & Kids,$634K,Seed,Zeropearl,June 2026,Entrackr,https://entrackr.com/snippets/toys-startup-lillbud-raises-seed-round-led-by-zeropearl-vc-12065382,Seed,
170,KickSky,Investment/VC Funds,Undisclosed,Seed,Idea Baaz,June 2026,Business Standard,https://www.business-standard.com/companies/news/ideabaaz-acquires-25-strategic-stake-in-space-tech-accelerator-kicksky-space-lab-126062200477_1.html,Seed,[PARTIAL] Ideabaaz stake acquisition in KickSky confirmed; characterization as investment/seed funding unclear.
171,Mitigata,FinTech/Insurance IT,$15M,Series B,Bessemer Venture Partners,June 2026,Business Standard,https://www.business-standard.com/companies/start-ups/cybersecurity-startup-mitigata-raises-15-mn-in-bessemer-led-series-b-round-126062301118_1.html,Series B,
172,Unnati,Food/Crop Tech,$1.8M,Conventional Debt,Recur Club,June 2026,Indian Startup Times,https://www.indianstartuptimes.com/investment/unnati-agri-raises-rs-17-crore-debt-funding-from-recur-club-to-strengthen-growth-and-distribution-network/,Conventional Debt,[DISCREPANCY] Batch lists $1.8M; sources confirm ₹17 crore (~$2.04M) debt.
173,Monk CI,Enterprise/DevOps,$450K,Seed,Campus Fund,June 2026,Dealroom,https://app.dealroom.co/news/note/monk-ci-raises-450k-pre-seed-to-reinvent-ci-for-ai-driven-software-teams,Pre-seed,
174,CRED,Payments,$900M,Series H,Meta,June 2026,fintech.global,https://fintech.global/2026/06/24/meta-backs-cred-in-900m-series-h-at-4-5bn-value/,Series H,
175,Recykal,Waste Management,$17.6M,Series D,Strat Ventures,June 2026,Entrackr,https://entrackr.com/exclusive/exclusive-morgan-stanley-backed-recykal-raises-18-mn-at-280-mn-valuation-12056152,Bridge,[DISCREPANCY] Batch lists Series D; sources confirm $23M bridge round with $17.6M primary deals.
176,ForeignAdmits,Higher Education Tech,$132K,Seed,Crizac,June 2026,Entrackr,https://entrackr.com/snippets/student-mobility-platform-crizac-acquires-3741-stake-in-foreignadmits-12053445,Strategic stake acquisition,
177,Rusk Media,Film & TV Studios,$10.6M,Series B,Audacity,June 2026,Inc42,https://inc42.com/company/rusk-media/funding/,Pre-Series C,[DISCREPANCY] Batch lists Series B; sources confirm Pre-Series C round led by Audacity (~$10.6M).
178,Karo Sambhav,Waste Management,$6M,Seed,Rainmatter,June 2026,YourStory,https://yourstory.com/2026/06/funding-karo-sambhav-56-crore-from-rainmatter-zerodha,Pre-Series A,[DISCREPANCY] Batch lists Seed; sources confirm Pre-Series A round.
179,Vetic,Veterinary Healthcare,$40M,Series D,Bessemer Venture Partners,June 2026,Business Standard,https://www.business-standard.com/companies/start-ups/vetic-raises-40-million-to-expand-pet-healthcare-network-126061700912_1.html,,[PARTIAL] Funding amount and lead investor confirmed; round type as Series D not explicitly confirmed in sources.
180,Influish,MarketingTech,Undisclosed,Seed,Pankaj Vermani,June 2026,YourStory,https://yourstory.com/2026/06/creator-platform-influish-pre-seed-funding-clovia-co-founder-others,Pre-Seed,[PARTIAL] Batch lists Seed; sources confirm Pre-Seed round. Amount undisclosed.
181,Xtovia,Beauty/Personal Care,$729K,Seed,V3 Ventures,June 2026,Entrackr,https://entrackr.com/snippets/haircare-startup-xtovia-raises-pre-seed-funding-led-by-v3-ventures-12047086,Pre-seed,
182,cGreen,Alternative Lending,Undisclosed,Seed,Indifly Ventures,June 2026,NewsX,https://www.newsx.com/bl-news/indifly-invests-in-cgreen-to-build-ai-powered-loan-resolution-infrastructure-across-bharat-259913/,Seed,"[PARTIAL] Indifly investment confirmed; seed round on June 17, 2026 confirmed but amount undisclosed."
183,Lissun,Healthcare Booking,$293K,Seed,Rainmatter,June 2026,Entrackr,https://entrackr.com/snippets/exclusive-mental-health-startup-lissun-raises-fresh-funds-from-zerodha-backed-rainmatter-12048004,Bridge/follow-on,
184,Gimimichi,Food/Beverage,$1M,Seed,India Quotient,June 2026,Indian Startup Times,https://www.indianstartuptimes.com/investment/gimi-michi-raises-1-million-to-bring-authentic-korean-flavours-to-indias-growing-food-market/,Seed,
185,TruNativ,Food/Beverage,Undisclosed,Series B,Orbimed,June 2026,DealStreet Asia,https://www.dealstreetasia.com/stories/orbimed-trunativ-485746,Series B,[DISCREPANCY] Batch lists amount as Undisclosed; sources confirm $30M Series B.
186,ContraVault AI,GovTech,$3.1M,Seed,Chiratae Ventures,June 2026,Business Standard,https://www.business-standard.com/amp/content/press-releases-ani/contravault-ai-raises-usd-3-1m-led-by-chiratae-ventures-with-titan-capital-winners-fund-to-build-the-future-of-ai-powered-procurement-intelligence-126061700519_1.html,Pre-Series A,[DISCREPANCY] Batch listed as Seed; sources confirm Pre-Series A round.
187,Speedioo,Auto E-Commerce,$1.06M,Seed,Atomic Capital,June 2026,Entrackr,https://entrackr.com/snippets/used-two-wheeler-platform-speedioo-raises-seed-funding-led-by-atomic-capital-12043624,Seed,
188,SolarSquare,Solar Energy,$53M,Series C,B Capital,June 2026,Energetica India,https://www.energetica-india.net/news/solarsquare-raises-usd-53-mn-in-series-c-round-led-by-b-capital-to-expand-residential-solar-business,Series C,
189,Trackersuite,Enterprise Collaboration,$634K,Seed,Pontaq,June 2026,YourStory,https://yourstory.com/2026/06/startup-news-and-updates-daily-roundup-june-16-2026,Pre-Series A,
190,Crest Capital,Single Family Offices,$3.1M,Seed,Beenext,June 2026,Indian Startup Times,https://www.indianstartuptimes.com/investment/crest-raises-usd-3-1-mn-pre-seed-funding-to-build-ai-native-fractional-family-offi-ce-led-by-beenext/,Pre-Seed,[PARTIAL] Batch lists Seed; sources confirm Pre-Seed round.
191,Foodstories,Food Retailers,$5.25M,Series B,NSFO,June 2026,Business Standard,https://www.business-standard.com/companies/start-ups/foodstories-raises-50-crore-in-funding-round-led-by-nikhil-kamath-126061500730_1.html,Series B,
192,Autovrse,Virtual Reality/AI Training,$2.4M,Series A,Singularity AMC,June 2026,Not yet checked,,,
193,Sarvam,Speech/Voice Recognition/AI,$234M,Series B,Bessemer Venture Partners,June 2026,Business Standard,https://www.business-standard.com/technology/artificial-intelligence/sovereign-ai-startup-sarvam-raises-234-mn-from-hcltech-bessemer-126061501007_1.html,Series B,"[PARTIAL] Lead investor was HCLTech ($150M), not Bessemer; Bessemer participated in the round."
194,Glam,Professional Services,$1.2M,Conventional Debt,Undisclosed,June 2026,Unverified — no corroboration found,,Unverified,
195,Zumutor,Immunotherapy,$7.3M,Series B,Accel,June 2026,Inc42,https://inc42.com/buzz/zumutor-biologics-secures-7-3-mn-to-advance-clinical-trials-for-cancer-therapy/,Pre-Series B,[DISCREPANCY] Batch lists Series B; sources confirm Pre-Series B round.
196,Rekise Marine,Professional Service Robots,$9.7M,Seed,Accel,June 2026,Business Standard,https://www.business-standard.com/amp/companies/start-ups/rekise-marine-raises-9-7-mn-led-by-nikhil-kamath-s-firm-and-accel-126061200902_1.html,Seed,
197,Lumiq,Big Data Analytics/AI,$5.9M,Series B,Info Edge Ventures,June 2026,IBS Intelligence,https://ibsintelligence.com/ibsi-news/lumiq-raises-5-9m-in-series-b-to-scale-ai-platforms/,Series B,[DISCREPANCY] Investor listed as 'Info Edge Ventures' but Bajaj Finserv Ventures led the round
198,Equal,RegTech,$30M,Series B,Prosus,June 2026,TechCrunch,https://techcrunch.com/2026/06/11/equal-ai-raises-30m-to-screen-calls-so-indians-dont-have-to/,Series B,
199,Privue,GRC Services,Undisclosed,Angel,Undisclosed,June 2026,Business Standard,https://www.business-standard.com/content/press-releases-ani/ai-risk-intelligence-startup-privue-raises-angel-round-to-expand-dealer-intelligence-application-126061200774_1.html,Angel,
200,FITTR,Fitness/Wellness Tech,Undisclosed,Angel,Rohit Gurunath Sharma,June 2026,YourStory,https://yourstory.com/2026/06/a-hackathon-to-empower-girl-innovators-rohit-sharma-investment-in-fittr,Angel,
201,Dream Aerospace,Space Tech,$1.04M,Seed,247VC,June 2026,Entrackr,https://entrackr.com/snippets/dream-aerospace-raises-10-cr-pre-series-a-round-12030835,Pre-Series A,[DISCREPANCY] Listed as Seed but is Pre-Series A; amount Rs 10 crore (~$1.2M) not $1.04M
202,Madverse,Music Tech,Undisclosed,Seed,Ahdritz,June 2026,Digital Music News,https://www.digitalmusicnews.com/2026/06/11/madverse-music-funding-seed/,Seed,
203,QubeHealth,HRTech/Healthcare Finance,Undisclosed,Series A,Unicorn India Ventures,June 2026,Business Standard,https://www.business-standard.com/companies/news/qubehealth-secures-pre-series-a-funding-from-unicorn-india-canbank-vc-124110500477_1.html,Series A,
204,BioDimension,Life Sciences,$839K,Seed,Indian Angel Network,June 2026,Entrackr,https://entrackr.com/snippets/biodimension-secures-rs-8-cr-from-ian-angel-fund-others-12026979,Early-stage (post-seed),
205,Dartle,Sports Tech,$100K,Seed,Inflection Point Ventures,June 2026,Entrackr,https://entrackr.com/snippets/sports-tech-startup-dartle-raises-100k-in-seed-funding-led-by-ipv-12026482,Seed,
206,ONLY ELECTRIQ SOLUTIONS,Auto/EV Brands,Undisclosed,Seed,Earlyseed Ventures,June 2026,The Wire,https://m.thewire.in/article/ptiprnews/electriq-closes-early-seed-funding-round-to-accelerate-ev-ecosystem-expansion-in-india-and-beyond/,Seed,
207,Manam Chocolate,Food/Beverage,$9M,Series A,Omnivore,June 2026,YourStory,https://yourstory.com/2026/06/manam-chocolate-raises-usd-9-m-in-series-a-led-by-omnivore,Series A,
208,Mygate,Property Management,Undisclosed,Series B,Dharana,June 2026,YourStory,https://yourstory.com/2026/06/mygate-raises-rs-225-cr-from-dharana-capital,Series B,[DISCREPANCY] Amount listed as Undisclosed but confirmed as Rs 225 crore (~$27M)
209,HyperNorm AI,Investment Tech,$2.2M,Seed,Capital 2B,June 2026,StartupTalky,https://startuptalky.com/hypernorm-ai-2-2-million-seed-funding-wealth-advisors/,Seed,
210,Rivvun AI,Finance/Accounting Tech,$7.55M,Seed,3one4 Capital,June 2026,Rivvun AI,https://rivvun.ai/rivvun-ai-seed-funding-announcement/,Seed,
211,Uni Seoul,Retail Chains,$3.6M,Series A,Sauce,June 2026,Entrackr,https://entrackr.com/snippets/impulse-lifestyle-retail-brand-uni-seoul-raises-rs-35-cr-in-series-a-round-12022701,Series A,
212,Hoola,Clinic Chains,$5M,Series A,Peak XV Partners,June 2026,YourStory,https://yourstory.com/2026/06/hoola-health-5-million-funding-peak-xv-surge,Series A,
213,BazaarNow,Online Grocery,$7.8M,Seed,Peak XV Partners,June 2026,YourStory,https://yourstory.com/2026/06/quick-commerce-startup-bazaarnow-raises-rs-72-cr-led-by-peak-xv-partners,Series A,[DISCREPANCY] Listed as Seed but confirmed Series A
214,The Wedding Company,Wedding Tech,$2.75M,Seed,Wellingdon Advisors,June 2026,Entrackr,https://entrackr.com/snippets/the-wedding-company-raises-275-mn-in-seed-round-12014070,Seed,
215,Celebal Technologies,Digital Transformation,$5.2M,Conventional Debt,BlackSoil,June 2026,IBS Intelligence,https://ibsintelligence.com/ibsi-news/enterprise-ai-firm-celebal-technologies-raises-5-2m-from-blacksoil-capital/,Conventional Debt,
216,Integra Robotics,Industrial Robotics,$1.12M,Seed,Finvolve,June 2026,Entrackr,https://entrackr.com/snippets/integra-robotics-raises-112-mn-in-pre-series-a-round-12017897,Pre-Series A,[DISCREPANCY] Listed as Seed but confirmed Pre-Series A
217,Recur Club,FinTech/Alternative Lending,Undisclosed,Series A,Enrission India Capital,June 2026,StartupFox,https://startupfox.in/article/recur-club-series-a-50m-funding-debt-marketplace,Series A,[DISCREPANCY] Amount listed as Undisclosed but confirmed $50M Series A
218,Hygenco,Green Hydrogen/Energy Storage,$105M,Series C,Fullerton Carbon Action Fund,June 2026,IFC,https://www.ifc.org/en/pressroom/2026/hygenco-signs-definitive-agreements-for-us-105-million-equity-investment,Series C,"[PARTIAL] Co-led by IFC, Siemens, and Fullerton; not solely Fullerton"
219,Immuneel,Oncology/Cell Therapy,$10.5M,Series B,Singularity AMC,June 2026,Entrackr,https://entrackr.com/news/immuneel-therapeutics-raises-over-rs-100-cr-in-series-b-12012724,Series B,
220,InteliQuant AI,GRC Software,Undisclosed,Seed,Marwari Catalysts,June 2026,ANI,https://www.aninews.in/news/business/inteliquant-ai-secures-strategic-investment-from-global-industry-leaders-to-scale-enterprise-audit-amp-risk-intelligence20260606170416/,Seed,
221,Innefu Labs,Cybersecurity/AI Analytics,Undisclosed,Series B,Panthera,June 2026,YourStory,https://yourstory.com/2026/06/innefu-labs-raises-30-million-in-series-b-from-panthera-growth-partners,Series B,[DISCREPANCY] Amount listed as Undisclosed but confirmed $30M Series B
222,AADYAH,Space Tech,$3.3M,Series A,Suraj Nalin,June 2026,Dealroom,https://app.dealroom.co/news/feed/ex-isro-scientists-aadyah-aerospace-raises-3-3m-series-a-led-by-helios-holdings,Series A,[DISCREPANCY] Investor listed as Suraj Nalin but led by Helios Holdings (Suraj Nalin's vehicle)
223,Estro Tech Robotics,Retail Tech/In-Store Marketing,$104K,Seed,Genrobotics,June 2026,UNI India,https://www.uniindia.com/genrobotics-leads-rs-1-crore-seed-funding-in-estro-tech-robotics/business-economy/news/3867471.html,Seed,
224,Ekatra,Fashion Accessories,Undisclosed,Angel,Ekta Kapoor Ravi,June 2026,Bollywood Hungama,https://www.bollywoodhungama.com/amp/news/bollywood/ektaa-kapoor-joins-sussanne-khans-ekatra-jewels-as-investor-and-partner/,Angel,"[PARTIAL] Company is Ekatra Jewels (luxury jewellery), not Fashion Accessories; investor Ektaa Kapoor"
225,Transchem,Chemicals/Pharmaceuticals,$9.4M,Post IPO,Bakkt,June 2026,Unverified — no corroboration found,,Unverified,
226,Firstclub,Online Grocery,$55M,Series B,Peak XV Partners,June 2026,YourStory,https://yourstory.com/2026/06/firstclub-raises-55-million-series-b-co-led-by-peak-xv-partners-sofina,Series B,
227,TrueFan AI,AI Video Creation,$10M,Series A,Baring Private Equity Partners,June 2026,YourStory,https://yourstory.com/2026/06/ai-video-generation-startup-truefan-ai-raises-series-a-funding,Series A,
228,WeRize,FinTech/Alternative Lending,$7M,Series B,Sony Innovation Fund,June 2026,Entrackr,https://entrackr.com/news/sony-innovation-fund-leads-7-mn-round-in-fintech-startup-werize-11999594,Pre-Series C,[DISCREPANCY] Listed as Series B but confirmed pre-Series C
229,VoltSeal,Energy Storage,$1.5M,Seed,Theia Ventures,June 2026,Mercom India,https://www.mercomindia.com/energy-storage-startup-voltseal-raises-1-5m-pre-seed,Pre-Seed,[DISCREPANCY] Listed as Seed but confirmed pre-seed
230,The Sweet Change,Food/Beverage,$178K,Seed,Rebalance,June 2026,StartupTalky,https://startuptalky.com/news/the-sweet-change-raises-1-7-crore-pre-seed-funding-round/,Pre-seed,
231,GPS Renewables,Clean Fuels/Waste Management,$66.3M,Series C,PixelSky Capital,June 2026,Deal Street Asia,https://www.dealstreetasia.com/stories/gps-renewables-series-c-484889,Series C,
232,Propsoch,Real Estate Tech,$2M,Seed,Athera,June 2026,Indian Startup Times,https://www.indianstartuptimes.com/investment/propsoch-raises-2-million-seed-funding-led-by-athera-venture-partners-sparrow-capital-and-vakil-group/,Seed,
233,Phab,Nutraceuticals,$4M,Seed,OTP Ventures,June 2026,StartupTalky,https://startuptalky.com/news/phab-raises-4-million-pre-series-a-round-funding/,Pre-Series A,[DISCREPANCY] Listed as Seed but confirmed Pre-Series A
234,Fraganote,Beauty Tech/Fragrances,$3M,Series A,V3 Ventures,June 2026,Entrackr,https://entrackr.com/snippets/v3-ventures-leads-3-mn-series-a-round-in-perfumery-brand-fraganote-11905033,Series A,
235,Rosada,Mom & Baby Care,Undisclosed,Angel,Shilpa Shetty Kundra,June 2026,Images BOF,https://www.imagesbof.in/kids-lifestyle-brand-rosada-onboards-shilpa-shetty-kundra-as-investor/,Angel,
236,prolearn,K-12 EdTech,$3.15M,Seed,Beenext,June 2026,StartupRise,https://startuprise.org/edtech-startup-prolearn-raises-3-15-million-in-pre-seed-round/,Pre-Seed,[DISCREPANCY] Listed as Seed but confirmed Pre-Seed
237,MediElaj,Telehealth/Healthcare Booking,$100K,Seed,Undisclosed,June 2026,Entrackr,https://entrackr.com/snippets/healthcare-startup-medelaj-raises-angel-round-11896174,Pre-seed/Angel,
238,Dognosis,Veterinary HealthTech,Undisclosed,Seed,Momentum Capital,June 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Seed round confirmed for June 2 2026 but investor (Momentum Capital) and exact amount unverified
239,Rovia,FinTech/Investment Tech,$1M,Seed,Antler,June 2026,Entrackr,https://entrackr.com/snippets/antler-india-leads-1-mn-pre-seed-round-in-wealthtech-platform-rovia-11895889,Pre-Seed,[DISCREPANCY] Listed as Seed but confirmed pre-seed
240,Simpl Energy,Energy Tech/EVs,$12.9M,Conventional Debt,Capitar Ventures,June 2026,YourStory,https://yourstory.com/2026/06/simple-energy-raises-rs-250-crore-in-equity--debt,Conventional Debt,
241,Simpl Energy,Energy Tech/EVs,$13.3M,Series B,Arokiaswamy Velumani,June 2026,YourStory,https://yourstory.com/2026/06/simple-energy-raises-rs-250-crore-in-equity--debt,Series B,
242,KorinMi,Healthcare/Clinic Chains,$1.05M,Seed,Lotus Herbals,June 2026,Not yet checked,,,
243,Agilitas,Consumer/Apparel Brands,Undisclosed,Angel,Anushka Sharma,June 2026,Not yet checked,,,
244,Anveshan,Food/Beverage,$12.7M,Series B,Vertex Ventures,June 2026,Not yet checked,,,
245,Evolve Energy Group,Energy/Solar,$11M,Conventional Debt,AIFL,June 2026,Not yet checked,,,
246,C2I Semiconductors,Semiconductors,$16.7M,Series A,TDK Ventures,June 2026,Not yet checked,,,
247,TIEA,Auto/Auto Components,$8M,Series A,IvyCap Ventures,June 2026,Not yet checked,,,
248,Quantum Tiger,High Tech/AI Infrastructure,Undisclosed,Seed,Undisclosed,June 2026,Not yet checked,,,
249,FlexPrice.io,Enterprise/MarketingTech,$1.5M,Seed,Shastra,June 2026,Not yet checked,,,
250,BucketListt,Consumer/Online Travel,$112K,Angel,Arvind Choudhary,June 2026,Business Standard,https://www.business-standard.com/amp/content/press-releases-ani/bucketlistt-raises-inr-1-07-crore-in-pre-seed-funding-to-build-india-s-experiences-infrastructure-126060901085_1.html,Pre-seed,
251,Fairdeal Market,Retail/B2B E-Commerce,$15M,Series A,Bertelsmann India Investments,June 2026,Not yet checked,,,
